cursed,1,363.9888,cruise2,10/20/2023,01/02/2000,02/03/2023
ugugu,5,363.9888,cruise2,10/21/2023,10/21/2023,10/24/2023
ugugu,25,363.9888,cruise2,10/21/2023,10/21/2023,10/24/2023
ugugu,5,363.9888,cruise2,10/21/2023,10/21/2022,10/24/2022
ugugu,5,363.9888,cruise2,10/21/2023,10/21/2024,10/24/2024
test,1,363.9888,cruise1,10/21/2023,01/10/2025,01/17/2025
test,2,363.9888,cruise1,10/21/2023,10/20/2025,10/23/2026
test,5,363.9888,cruise1,10/21/2023,10/23/2023,10/25/2025
test,8,2199.96,cruise1,10/21/2023,10/23/2025,10/27/2025
test,1,133219.9008,cruise1,10/22/2023,10/23/2023,10/23/2024
username,0,1.237033728E8,cruise1,10/23/2023,10/23/2024,10/23/2444
username,5,-2.689465924656E8,cruise1,10/23/2023,10/23/2024,10/23/0001
username,13,2.2497820541279998E8,cruise1,10/24/2023,10/24/3009,10/12/4009
username,12900129,694.3552000000001,cruise3,10/24/2023,10/23/2023,10/27/2023
