TRAVELPATH
0001,1,FULL,COMFORT,true
0002,2,QUEEN,COMFORT,false
0003,3,TWIN,BUSINESS,true
0004,4,KING,EXECUTIVE,false
0005,1,QUEEN,COMFORT,true
0006,2,FULL,ECONOMY,false
0007,3,TWIN,EXECUTIVE,true
0008,4,KING,BUSINESS,false
0009,1,FULL,COMFORT,true
0010,2,QUEEN,BUSINESS,false
0011,3,TWIN,ECONOMY,true
0012,4,KING,EXECUTIVE,false
0013,1,QUEEN,BUSINESS,true
0014,2,FULL,COMFORT,false
0015,3,TWIN,ECONOMY,true
0016,4,KING,BUSINESS,false
0017,1,FULL,EXECUTIVE,true
0018,2,QUEEN,COMFORT,false
0019,3,TWIN,EXECUTIVE,true
0020,4,KING,ECONOMY,false
0021,1,QUEEN,BUSINESS,true
0022,2,FULL,COMFORT,false
0023,3,TWIN,BUSINESS,true
0024,4,KING,EXECUTIVE,false
0025,1,QUEEN,COMFORT,true
0026,2,FULL,ECONOMY,false
0027,3,TWIN,EXECUTIVE,true
0028,4,KING,BUSINESS,false
0029,1,FULL,COMFORT,true
0030,2,QUEEN,BUSINESS,false
0031,3,TWIN,ECONOMY,true
0032,4,KING,EXECUTIVE,false
0033,1,QUEEN,BUSINESS,true
0034,2,FULL,COMFORT,false
0035,3,TWIN,ECONOMY,true
0036,4,KING,BUSINESS,false
0037,1,FULL,EXECUTIVE,true
0038,2,QUEEN,COMFORT,false
0039,3,TWIN,EXECUTIVE,true
0040,4,KING,ECONOMY,false
123,1,TWIN,ECONOMY,false
23,1,TWIN,ECONOMY,false
1231241,1,TWIN,ECONOMY,false
